name,slug,state,region,lat,lng,website_url,cam_page_url,snotel_station_id,is_active,x_url,facebook_url,instagram_url
Ski Santa Fe,ski-santa-fe,NM,Sangre de Cristo,35.7906,-105.8214,https://skisantafe.com,https://skisantafe.com/webcams/,922:NM:SNTL,true,,https://www.facebook.com/skisantafe,https://www.instagram.com/skisantafe/
Taos Ski Valley,taos,NM,Sangre de Cristo,36.5950,-105.4481,https://www.skitaos.com,https://www.skitaos.com/webcams,1168:NM:SNTL,true,https://x.com/TaosSkiValley,https://www.facebook.com/taosskivalley/,https://www.instagram.com/taosskivalley/
Mission Ridge Ski & Board Resort,mission-ridge,WA,Eastern Cascades,47.2908,-120.3997,https://www.missionridge.com,https://www.missionridge.com/mountain-report/,841:WA:SNTL,true,https://x.com/skimissionridge,https://www.facebook.com/MissionRidgeSkiAndBoardResort,https://www.instagram.com/missionridge/
Donner Ski Ranch,donner-ski-ranch,CA,Lake Tahoe,39.3139,-120.3353,https://www.donnerskiranch.com,https://webcams.donnerskiranch.com/,428:CA:SNTL,true,,https://www.facebook.com/donnerskiranch/,https://www.instagram.com/donnerskiranch/
Boreal Mountain Resort,boreal,CA,Lake Tahoe,39.3597,-120.3553,https://www.rideboreal.com,https://www.rideboreal.com/explore/webcams/,428:CA:SNTL,true,https://x.com/borealmtn,https://www.facebook.com/borealmtn/,https://www.instagram.com/borealmtn/
Bear Valley Mountain Resort,bear-valley,CA,Central Sierra,38.4706,-120.0478,https://bearvalley.com,https://www.bearvalley.com/webcam,356:CA:SNTL,true,https://x.com/bearvalleyrsrt,https://www.facebook.com/BearValleyResort/,https://www.instagram.com/bearvalleyresort/
Ski Bowl at Mt. Hood,ski-bowl,OR,Mt. Hood,45.2964,-121.7281,https://www.skibowl.com,https://www.skibowl.com/jet-popup/video-cam-menu/,651:OR:SNTL,true,https://x.com/skibowl,https://www.facebook.com/skibowl/,https://www.instagram.com/skibowl/
Purgatory Resort,purgatory,CO,San Juan Mountains,37.6294,-107.8636,https://www.purgatoryresort.com,https://www.purgatoryresort.com/mountain/webcams,387:CO:SNTL,true,https://x.com/skipurg,https://www.facebook.com/skipurg/,https://www.instagram.com/skipurg/
Eldora Mountain Resort,eldora,CO,Front Range,39.9386,-105.5839,https://www.eldora.com,https://www.eldora.com/mountain/conditions/webcams,564:CO:SNTL,true,https://x.com/eldoramtnresort,https://www.facebook.com/eldoramountainresort/,https://www.instagram.com/eldoramtnresort/
Sunlight Mountain Resort,sunlight,CO,Elk Mountains,39.4581,-107.4231,https://sunlightmtn.com,https://sunlightmtn.com/mountain-webcam,345:CO:SNTL,true,https://x.com/skisunlight,https://www.facebook.com/sunlightmountainresort,https://www.instagram.com/sunlightmountainresort/
Granby Ranch Ski Area,granby-ranch,CO,Grand County,40.0728,-105.8933,https://granbyranch.com,https://granbyranch.com/webcam,1187:CO:SNTL,true,https://x.com/GranbyRanch,https://www.facebook.com/granbyranch/,https://www.instagram.com/granbyranch/
Snowbasin Resort,snowbasin,UT,Northern Wasatch,41.2161,-111.8564,https://www.snowbasin.com,https://www.snowbasin.com/mountain-information/webcams,1300:UT:SNTL,true,https://x.com/snowbasinresort,https://www.facebook.com/snowbasin,https://www.instagram.com/snowbasinresort/
